trial_id,mean_loss,timestamp,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,experiment_tag,config/lr_net,config/lr_dyn,config/lr_stru,config/hid
280e8_00000,28.909888076782227,1700746027,True,1,2023-11-23_21-27-07,1647.5501821041107,1647.5501821041107,13304,cloud-gpu04,10.0.96.24,1647.5501821041107,1,,0,0.0028784809971104264,0.0037056625692144735,0.008275606076244465,276
280e8_00001,27.20743282318115,1700747068,True,1,2023-11-23_21-44-28,1037.9899003505707,1037.9899003505707,29959,cloud-gpu04,10.0.96.24,1037.9899003505707,1,,1,0.009619170180209743,0.00551066135202397,0.0029775226714392165,94
280e8_00002,30.572662048339843,1700748463,True,1,2023-11-23_22-07-43,1391.6369705200195,1391.6369705200195,40097,cloud-gpu04,10.0.96.24,1391.6369705200195,1,,2,0.003105451686955826,0.0002868338903559216,0.002867020007222148,226
280e8_00003,29.613695182800292,1700750553,True,1,2023-11-23_22-42-33,2087.0473544597626,2087.0473544597626,16219,cloud-gpu04,10.0.96.24,2087.0473544597626,1,,3,0.0037607073347732155,0.0013098656881857908,0.00991204028632698,363
280e8_00004,29.910406875610352,1700751567,True,1,2023-11-23_22-59-27,1011.0866680145264,1011.0866680145264,36676,cloud-gpu04,10.0.96.24,1011.0866680145264,1,,4,0.0022612339253420374,0.0033307660161548606,0.008439389433367497,84
280e8_00005,28.474243202209472,1700754445,True,1,2023-11-23_23-47-25,2875.487868309021,2875.487868309021,7797,cloud-gpu04,10.0.96.24,2875.487868309021,1,,5,0.006009412193003274,0.002677683289386746,0.00960129432925449,468
280e8_00006,15788.2893359375,1700756548,True,1,2023-11-24_00-22-28,2098.876456975937,2098.876456975937,37193,cloud-gpu04,10.0.96.24,2098.876456975937,1,,6,0.000127920650532168,0.0032521887896046924,0.003803274988158298,370
280e8_00007,28.070638961791992,1700758248,True,1,2023-11-24_00-50-48,1697.2135653495789,1697.2135653495789,20457,cloud-gpu04,10.0.96.24,1697.2135653495789,1,,7,0.005522576626980088,0.00458359309081358,0.007824994815223118,296
280e8_00008,45.4780997467041,1700759246,True,1,2023-11-24_01-07-26,994.6067912578583,994.6067912578583,36886,cloud-gpu04,10.0.96.24,994.6067912578583,1,,8,0.0011827304070996928,0.0015316529430471093,0.0076701758075373,52
280e8_00009,27.741592483520506,1700760254,True,1,2023-11-24_01-24-14,1005.1661953926086,1005.1661953926086,7847,cloud-gpu04,10.0.96.24,1005.1661953926086,1,,9,0.00640736042524707,0.009670016919591753,0.0038286443403503603,50
280e8_00010,28.498770599365233,1700763055,True,1,2023-11-24_02-10-55,2798.551644563675,2798.551644563675,18967,cloud-gpu04,10.0.96.24,2798.551644563675,1,,10,0.005184831568911225,0.0034066068767308034,0.002464883260613218,462
280e8_00011,30.4151554107666,1700765748,True,1,2023-11-24_02-55-48,2689.4127345085144,2689.4127345085144,7565,cloud-gpu04,10.0.96.24,2689.4127345085144,1,,11,0.005720810343995072,0.009627412802353658,0.0067577278861115,448
280e8_00012,8736.485546875,1700766783,True,1,2023-11-24_03-13-03,1032.1580510139465,1032.1580510139465,35125,cloud-gpu04,10.0.96.24,1032.1580510139465,1,,12,0.00018800598221020817,0.00505324397389493,0.0013367787189947342,87
280e8_00013,28.539611892700194,1700768634,True,1,2023-11-24_03-43-54,1847.9683854579926,1847.9683854579926,5076,cloud-gpu04,10.0.96.24,1847.9683854579926,1,,13,0.008927750306212462,0.0018869577242429235,0.008086872906540792,325
280e8_00014,28.194935493469238,1700770327,True,1,2023-11-24_04-12-07,1690.1663506031036,1690.1663506031036,26022,cloud-gpu04,10.0.96.24,1690.1663506031036,1,,14,0.004683985107279441,0.009243540178729843,0.002707191086038239,295
280e8_00015,27.96254196166992,1700771543,True,1,2023-11-24_04-32-23,1212.481189250946,1212.481189250946,1964,cloud-gpu04,10.0.96.24,1212.481189250946,1,,15,0.008604229081024671,0.0053437696737599705,0.005446258707312512,175
280e8_00016,28.91583393096924,1700772573,True,1,2023-11-24_04-49-33,1027.134491443634,1027.134491443634,16848,cloud-gpu04,10.0.96.24,1027.134491443634,1,,16,0.0031756652330991713,0.009997740084977764,0.0011694981420813757,51
280e8_00017,27.683886032104493,1700773657,True,1,2023-11-24_05-07-37,1080.6462442874908,1080.6462442874908,27094,cloud-gpu04,10.0.96.24,1080.6462442874908,1,,17,0.009898414836649883,0.009961575999637281,0.007594756017806682,132
280e8_00018,28.295881690979005,1700775767,True,1,2023-11-24_05-42-47,2107.5885496139526,2107.5885496139526,37618,cloud-gpu04,10.0.96.24,2107.5885496139526,1,,18,0.006934191940756704,0.006300339078682463,0.0030902947157915063,368
280e8_00019,29.08822727203369,1700777643,True,1,2023-11-24_06-14-03,1872.851676940918,1872.851676940918,20924,cloud-gpu04,10.0.96.24,1872.851676940918,1,,19,0.003931275273769032,0.005368140943316718,0.00073251663598275,322
280e8_00020,27.553186988830568,1700778647,True,1,2023-11-24_06-30-47,1001.5868244171143,1001.5868244171143,38988,cloud-gpu04,10.0.96.24,1001.5868244171143,1,,20,0.006918841924828198,0.009969644805247275,0.008958192808181059,51
280e8_00021,33.00449066162109,1700781605,True,1,2023-11-24_07-20-05,2955.3305444717407,2955.3305444717407,10133,cloud-gpu04,10.0.96.24,2955.3305444717407,1,,21,0.0014198039101257682,0.009852190905175171,0.0031623373578647655,489
